Competition UID,Year,Location,Competition,Class,Overall Rank,Athlete Name,Nation,OQS Points
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,17,Titouan Castryck,FRA,650
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,2,Martin Dougoud,SUI,900
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,5,Jiri Prskavec,CZE,790
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,15,Timothy Anderson,AUS,670
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,22,Lucien Delfour,AUS,600
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,37,Giovanni De Gennaro,ITA,430
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,14,Malo Quemeneur,FRA,680
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,8,Miquel Trave,ESP,760
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,35,Joseph Clarke,GBR,450
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,36,Ben Haylett,GBR,440
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,18,Vit Prindis,CZE,640
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,30,Mathis Soudi,MAR,520
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,29,Michal Pasiut,POL,530
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,34,Felix Oschmautz,AUT,460
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,40,Peter Kauzer,SLO,400
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,20,Stefan Hengst,GER,620
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,3,Boris Neveu,FRA,840
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,10,Noah Hegge,GER,740
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,7,Ondrej Tunka,CZE,770
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,1,Gabriel De Coster,BEL,1000
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,19,Dariusz Popiela,POL,630
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,6,Xin Quan,CHN,780
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,16,Tim Bremer,GER,660
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,27,Pedro Goncalves,BRA,550
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,12,Martin Halcin,SVK,720
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,25,Marcello Beda,ITA,570
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,33,Martin Srabotnik,SLO,470
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,11,Mario Leitner,AUT,730
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,9,Gelindo Chiarello,SUI,750
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,32,Haijie Yu,CHN,480
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,57,Jakub Brzezinski,POL,230
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,28,Alex Baldoni,CAN,540
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,24,Benjamin Pope,AUS,580
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,21,Manuel Ochoa,ESP,610
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,75,Isak Ohrstrom,SWE,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,51,Erik Holmer,SWE,290
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,56,Lucas Rossi,ARG,240
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,63,Geronimo Cortez,ARG,170
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,26,Adam Gonsenica,SVK,560
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,59,Lucas Jacob,POR,210
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,55,Ulan Valant,SLO,250
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,69,Thomas Ukalovic,CRO,110
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,31,Liman Huang,CHN,490
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,38,Samuel Curtis,IRL,420
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,52,Fredrik Wahlen,SWE,280
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,58,Alistair Mccreery,IRL,220
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,39,Callum Gilbert,NZL,410
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,13,Joan Crespo,ESP,690
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,60,Ondrej Macus,SVK,200
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,62,Jordan Sherman,USA,180
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,64,Victor Hennin,BEL,160
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,71,Thibaud Lacour,ROU,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,66,Koppany Racz,HUN,140
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,68,Serhii Sovko,UKR,120
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,74,Kaelin Friedenson,USA,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,67,Tobias Castiglione,ARG,130
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,77,Joao Cunha,POR,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,65,Trevor Boyd,CAN,150
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,76,Daisuke Neshime,JPN,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,70,Nour Ait Kaddour,MAR,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,72,Yoeri Welling,NED,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,23,Jonny Dickson,GBR,590
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,4,Finn Butcher,NZL,800
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,53,Lukas Werro,SUI,270
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,54,Maxime Aubertin,BEL,260
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,61,Mael Rivard,CAN,190
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1M,73,Chao Jun Lin,TPE,100
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,28,Eliska Mintalova,SVK,540
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,4,Ricarda Funk,GER,800
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,29,Elena Lilik,GER,530
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,26,Kimberley Woods,GBR,560
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,20,Noemie Fox,AUS,620
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,15,Monica Doria Vilarrubla,AND,670
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,1,Jessica Fox,AUS,1000
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,17,Corinna Kuhnle,AUT,650
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,14,Viktoriia Us,UKR,680
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,5,Eva Tercelj,SLO,790
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,27,Camille Prigent,FRA,550
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,13,Antonie Galuskova,CZE,690
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,11,Zuzana Pankova,SVK,730
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,24,Phoebe Spicer,GBR,580
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,12,Klaudia Zwolinska,POL,720
2022 Pau World Cup 4,2022,Pau,World Cup 4,K1W,8,Stefanie Horn,ITA,760
