UID,Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Nation,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Gate 9,Gate 10,Gate 11,Gate 12,Gate 13,Gate 14,Gate 15,Gate 16,Gate 17,Gate 18,Gate 19,Gate 20,Gate 21,Gate 22,Gate 23,Gate 24,Gate 25,Raw Time,Total Penalties,Total Time,Heats Format,Raw % Behind,Total % Behind,Year of Birth,Competition ID,Athlete ID,Phase ID
2024 Augsburg World Cup 1 Heat 1 K1W 1,2024,Augsburg,World Cup 1,Heat 1,K1W,1,24,Sona STANOVSKA,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,104.67,0,104.67,Heat 1 Progression,100.00%,100.00%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Sona STANOVSKA,2024 Augsburg World Cup 1 Heat 1 K1W Sona STANOVSKA
2024 Augsburg World Cup 1 Heat 1 K1W 2,2024,Augsburg,World Cup 1,Heat 1,K1W,2,14,Ana SATILA,BRA,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,105.49,2,107.49,Heat 1 Progression,100.78%,102.69%,1996,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ana SATILA,2024 Augsburg World Cup 1 Heat 1 K1W Ana SATILA
2024 Augsburg World Cup 1 Heat 1 K1W 3,2024,Augsburg,World Cup 1,Heat 1,K1W,3,9,Eva TERCELJ,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,107.68,0,107.68,Heat 1 Progression,102.88%,102.88%,1992,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Eva TERCELJ,2024 Augsburg World Cup 1 Heat 1 K1W Eva TERCELJ
2024 Augsburg World Cup 1 Heat 1 K1W 4,2024,Augsburg,World Cup 1,Heat 1,K1W,4,2,Ricarda FUNK,GER,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,102,6,108,Heat 1 Progression,97.45%,103.18%,1992,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Ricarda FUNK,2024 Augsburg World Cup 1 Heat 1 K1W Ricarda FUNK
2024 Augsburg World Cup 1 Heat 1 K1W 5,2024,Augsburg,World Cup 1,Heat 1,K1W,5,3,Elena LILIK,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,106.07,2,108.07,Heat 1 Progression,101.34%,103.25%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Elena LILIK,2024 Augsburg World Cup 1 Heat 1 K1W Elena LILIK
2024 Augsburg World Cup 1 Heat 1 K1W 6,2024,Augsburg,World Cup 1,Heat 1,K1W,6,5,Camille PRIGENT,FRA,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,,105.71,4,109.71,Heat 1 Progression,100.99%,104.82%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Camille PRIGENT,2024 Augsburg World Cup 1 Heat 1 K1W Camille PRIGENT
2024 Augsburg World Cup 1 Heat 1 K1W 7,2024,Augsburg,World Cup 1,Heat 1,K1W,7,8,Tereza FISEROVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,109.86,0,109.86,Heat 1 Progression,104.96%,104.96%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Tereza FISEROVA,2024 Augsburg World Cup 1 Heat 1 K1W Tereza FISEROVA
2024 Augsburg World Cup 1 Heat 1 K1W 8,2024,Augsburg,World Cup 1,Heat 1,K1W,8,18,Amalie HILGERTOVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,,,,108.02,2,110.02,Heat 1 Progression,103.20%,105.11%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Amalie HILGERTOVA,2024 Augsburg World Cup 1 Heat 1 K1W Amalie HILGERTOVA
2024 Augsburg World Cup 1 Heat 1 K1W 9,2024,Augsburg,World Cup 1,Heat 1,K1W,9,21,Emma VUITTON,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,108.15,2,110.15,Heat 1 Progression,103.32%,105.24%,2003,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Emma VUITTON,2024 Augsburg World Cup 1 Heat 1 K1W Emma VUITTON
2024 Augsburg World Cup 1 Heat 1 K1W 10,2024,Augsburg,World Cup 1,Heat 1,K1W,10,4,Klaudia ZWOLINSKA,POL,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,108.4,2,110.4,Heat 1 Progression,103.56%,105.47%,1998,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Klaudia ZWOLINSKA,2024 Augsburg World Cup 1 Heat 1 K1W Klaudia ZWOLINSKA
2024 Augsburg World Cup 1 Heat 1 K1W 11,2024,Augsburg,World Cup 1,Heat 1,K1W,11,1,Jessica FOX,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,,,,107.18,4,111.18,Heat 1 Progression,102.40%,106.22%,1994,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Jessica FOX,2024 Augsburg World Cup 1 Heat 1 K1W Jessica FOX
2024 Augsburg World Cup 1 Heat 1 K1W 11,2024,Augsburg,World Cup 1,Heat 1,K1W,11,6,Stefanie HORN,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,109.18,2,111.18,Heat 1 Progression,104.31%,106.22%,1991,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Stefanie HORN,2024 Augsburg World Cup 1 Heat 1 K1W Stefanie HORN
2024 Augsburg World Cup 1 Heat 1 K1W 13,2024,Augsburg,World Cup 1,Heat 1,K1W,13,20,Lena TEUNISSEN,NED,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,110.22,2,112.22,Heat 1 Progression,105.30%,107.21%,1997,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Lena TEUNISSEN,2024 Augsburg World Cup 1 Heat 1 K1W Lena TEUNISSEN
2024 Augsburg World Cup 1 Heat 1 K1W 14,2024,Augsburg,World Cup 1,Heat 1,K1W,14,7,Mallory FRANKLIN,GBR,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,108.95,4,112.95,Heat 1 Progression,104.09%,107.91%,1994,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Mallory FRANKLIN,2024 Augsburg World Cup 1 Heat 1 K1W Mallory FRANKLIN
2024 Augsburg World Cup 1 Heat 1 K1W 15,2024,Augsburg,World Cup 1,Heat 1,K1W,15,12,Evy LEIBFARTH,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,,,,109.05,4,113.05,Heat 1 Progression,104.18%,108.01%,2004,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Evy LEIBFARTH,2024 Augsburg World Cup 1 Heat 1 K1W Evy LEIBFARTH
2024 Augsburg World Cup 1 Heat 1 K1W 16,2024,Augsburg,World Cup 1,Heat 1,K1W,16,10,Monica DORIA,AND,-,-,-,-,-,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,107.68,6,113.68,Heat 1 Progression,102.88%,108.61%,2000,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Monica DORIA,2024 Augsburg World Cup 1 Heat 1 K1W Monica DORIA
2024 Augsburg World Cup 1 Heat 1 K1W 17,2024,Augsburg,World Cup 1,Heat 1,K1W,17,13,Eva Alina HOCEVAR,SLO,-,2,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,,,,108.13,6,114.13,Heat 1 Progression,103.31%,109.04%,2002,2024 Augsburg World Cup 1,2024 Augsburg World Cup 1 K1W Eva Alina HOCEVAR,2024 Augsburg World Cup 1 Heat 1 K1W Eva Alina HOCEVAR
